우선순위,유형,마감,프레임 색상,간살,안전창 디자인,손잡이,키(skuImages용),파일명(권장)
1,3연동,도장,화이트,민자,투명,기본형,3연동_paint_white_none_clear_none,assets/sku/diy-door-3연동-도장화이트-민자-투명-기본형.png
1,원슬라이딩,도장,화이트,민자,투명,기본형,원슬라이딩_paint_white_none_clear_none,assets/sku/diy-door-원슬라이딩-도장화이트-민자-투명-기본형.png
1,스윙폴딩,도장,화이트,민자,투명,기본형,스윙폴딩_paint_white_none_clear_none,assets/sku/diy-door-스윙폴딩-도장화이트-민자-투명-기본형.png
1,여닫이,도장,화이트,민자,투명,기본형,여닫이_paint_white_none_clear_none,assets/sku/diy-door-여닫이-도장화이트-민자-투명-기본형.png
2,3연동,도장,화이트,민자,투명,원형,3연동_paint_white_none_clear_circle,assets/sku/diy-door-3연동-도장화이트-민자-투명-원형.png
2,3연동,도장,화이트,민자,투명,일자형,3연동_paint_white_none_clear_bar,assets/sku/diy-door-3연동-도장화이트-민자-투명-일자형.png
2,3연동,도장,화이트,민자,브론즈,기본형,3연동_paint_white_none_bronze_none,assets/sku/diy-door-3연동-도장화이트-민자-브론즈-기본형.png
2,3연동,도장,화이트,민자,모루,기본형,3연동_paint_white_none_moru_none,assets/sku/diy-door-3연동-도장화이트-민자-모루-기본형.png
2,3연동,도장,화이트,민자,미스트,기본형,3연동_paint_white_none_mist_none,assets/sku/diy-door-3연동-도장화이트-민자-미스트-기본형.png
2,3연동,도장,화이트,민자,패브릭,기본형,3연동_paint_white_none_fabric_none,assets/sku/diy-door-3연동-도장화이트-민자-패브릭-기본형.png
2,3연동,도장,화이트,가로통간살,투명,기본형,3연동_paint_white_horizontal_clear_none,assets/sku/diy-door-3연동-도장화이트-가로통간살-투명-기본형.png
2,3연동,도장,화이트,세로통간살,투명,기본형,3연동_paint_white_vertical_clear_none,assets/sku/diy-door-3연동-도장화이트-세로통간살-투명-기본형.png
2,3연동,도장,화이트,아치형,투명,기본형,3연동_paint_white_arch_clear_none,assets/sku/diy-door-3연동-도장화이트-아치형-투명-기본형.png
2,3연동,도장,그레이,민자,투명,기본형,3연동_paint_gray_none_clear_none,assets/sku/diy-door-3연동-도장그레이-민자-투명-기본형.png
2,3연동,도장,블랙,민자,투명,기본형,3연동_paint_black_none_clear_none,assets/sku/diy-door-3연동-도장블랙-민자-투명-기본형.png
2,3연동,필름,화이트,민자,투명,기본형,3연동_film_white_none_clear_none,assets/sku/diy-door-3연동-필름화이트-민자-투명-기본형.png
2,3연동,필름,그레이,민자,투명,기본형,3연동_film_gray_none_clear_none,assets/sku/diy-door-3연동-필름그레이-민자-투명-기본형.png
2,3연동,필름,블랙,민자,투명,기본형,3연동_film_black_none_clear_none,assets/sku/diy-door-3연동-필름블랙-민자-투명-기본형.png
2,원슬라이딩,도장,화이트,민자,투명,원형,원슬라이딩_paint_white_none_clear_circle,assets/sku/diy-door-원슬라이딩-도장화이트-민자-투명-원형.png
2,원슬라이딩,도장,화이트,민자,투명,일자형,원슬라이딩_paint_white_none_clear_bar,assets/sku/diy-door-원슬라이딩-도장화이트-민자-투명-일자형.png
2,원슬라이딩,도장,화이트,민자,브론즈,기본형,원슬라이딩_paint_white_none_bronze_none,assets/sku/diy-door-원슬라이딩-도장화이트-민자-브론즈-기본형.png
2,원슬라이딩,도장,화이트,민자,모루,기본형,원슬라이딩_paint_white_none_moru_none,assets/sku/diy-door-원슬라이딩-도장화이트-민자-모루-기본형.png
2,원슬라이딩,도장,화이트,민자,미스트,기본형,원슬라이딩_paint_white_none_mist_none,assets/sku/diy-door-원슬라이딩-도장화이트-민자-미스트-기본형.png
2,원슬라이딩,도장,화이트,민자,패브릭,기본형,원슬라이딩_paint_white_none_fabric_none,assets/sku/diy-door-원슬라이딩-도장화이트-민자-패브릭-기본형.png
2,원슬라이딩,도장,화이트,가로통간살,투명,기본형,원슬라이딩_paint_white_horizontal_clear_none,assets/sku/diy-door-원슬라이딩-도장화이트-가로통간살-투명-기본형.png
